No,Name,Normal Price,Discounted Price,Specifications,URL
Shipping Location: korea",https://www.3dprintersonlinestore.com/3d-printers/h700-professional-3d-printer

9,Sharebot SnowWhite Direct Laser Sintering (DLS) 3D Printer,"$39,000 USD",,"Scan speed : 2.200 mm/sec
-----
Print size ( X Y Z ): 90 x 90 x 80 mm
Print Speed: 35mm/h on the Z-axis
-----
Supported File Formats: STL
-----
Connectivity (Interface): USB, Wifi
-----
Shipping Location: Italy
Lead Time (Processing/Handling Time): 12 days",https://www.3dprintersonlinestore.com/3d-printers/sharebot-snowwhite-3d-printer

10,Creatbot D600 Industrial 3D Printer,"$7,999 USD",,"Item Condition: New
-----
Print size ( X Y Z ): 600*600*600mm
Print Speed: 30 to 180 mm/sec
Layer Resolution: 0.02mm
Print Precision (Layer Thickness) : 0.02mm
Filament Diameter: 1.75mm
Nozzle Diameter: 0.4mm (0.3, 0.5, 0.6, 0.8, 1.0mm)



-----
Filament Compatibility  : PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, etc.

-----

Chassis: Power-Coated Steel, Aluminum Casting for Motion Components, POM
No.of Extruders: Single/Dual
Print Plate (Build Platform): Microcrystalline Ceramic Panel



-----

3D Printing Software: CreatWare Multi-language



-----
Supported File Formats: STL, OBJ, AMF
Operating System: Windows, Linux,Mac OS
-----
Extruder Temperature: 400Â°C
-----
AC Input: 100-240V, 50-60Hz
Power Requirements: 1000W
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): ATmega 2560
-----
Machine weight: 125 kg
Shipping box weight: 190 kg
Machine Dimensions: 915*845*1085mm
Shipping box dimensions: 1000*1030*1360mm
Shipping Location: China
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/creatbot-d600

11,Mmuse - New Touchscreen Chocolate 3D Printer,"$4,499 USD",,"Manufacturer Warranty: 3 Months
-----
Print size ( X Y Z ): 160 x 120 x 150 mm
Print Speed: 30 to 60 mm/sec
Nozzle Diameter: 0.8 mm
-----
Supported File Formats: STL, Gcode
-----
Connectivity (Interface): WIFI, USB, SD card
-----
Machine weight: 25 Kg
Shipping box weight: 65 Kg
Machine Dimensions: 723*380*554 mm
Shipping box dimensions: 700 x 800 x 600 mm
Shipping Location: China
Lead Time (Processing/Handling Time): 5 Buisness days",https://www.3dprintersonlinestore.com/3d-printers/mmuse-touch-screen-chocolate-3d-printer

12,Creatbot F430 Desktop 3D Printer,"$3,800 USD",,"Item Condition: New
-----
Print size ( X Y Z ): 400*300*300mm (F430)
Print Speed: 30 to 180 mm/sec
Layer Resolution: 0.02mm
Print Precision (Layer Thickness) : 0.02mm
Filament Diameter: 1.75mm
Nozzle Diameter: 0.4mm (0.3, 0.5, 0.6, 0.8, 1.0mm)



-----
Filament Compatibility  : PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, PEEK, etc.



-----

Chassis: Power-Coated Steel, Aluminum Casting for Motion Components, POM
No.of Extruders: One
Print Plate (Build Platform): Heatable Aluminium PCB with BuildTak



-----

3D Printing Software: CreatWare Multi-language



-----
Supported File Formats: STL, OBJ, AMF
Operating System: Windows, Linux,Mac OS
-----
Extruder Temperature: 400Â°C
-----
AC Input: 100-240V, 50-60Hz
Power Requirements: 300W
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): ATmega 2560
-----
Machine weight: 43 kg
Shipping box weight: 58 kg
Machine Dimensions: 660*470*580mm
Shipping box dimensions: 760*620*680mm
Shipping Location: China
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/creatbot-f430-3d-printer

13,Mmuse - New Desktop Chocolate 3D Printer,"$3,600 USD",,"Manufacturer Warranty: 3 Months
-----
Print size ( X Y Z ): 120 x 120 x 50 mm
Print Speed: 30 to 100 mm/sec
Nozzle Diameter: 0.6 to 1.0 mm
-----
Supported File Formats: STL, Gcode
-----
Connectivity (Interface): TF card
-----
Machine weight: 10 Kg
Shipping box weight: 15 Kg
Machine Dimensions: 310*390*600mm
Shipping box dimensions: 500 x 500 x 700 mm
Shipping Location: China
Lead Time (Processing/Handling Time): 5 Buisness days",https://www.3dprintersonlinestore.com/3d-printers/mmuse-desktop-chocolate-3d-printer

14,Creatbot DE Series - Triple Head Large High Precision 3D Printer,"$4,999 USD","$3,480 USD","Item Condition: New
Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): DE:  400*300*300mm

DE Plus : 400*300*520mm
Print Speed: 30 to 200 mm/sec
Layer Resolution: 30 to 100 microns
Print Precision (Layer Thickness) : 0.04-0.3mm
Filament Diameter: 3.00 mm (1.75 mm optional)
Nozzle Diameter: 0.4 mm (Standard) 0.3, 0.5, 0.8, 1.0 mm (Optional)
Filament Compatibility  : PLA, ABS, Carbon Fiber, Wood, Nylon, PC, PTEG, HIPS, PP, Flexible, TPU, PVA, etc.
Print Plate Size: 310 x 290 mm
Print in dual color: Yes
Print in multi color: Yes
-----
Chassis: Power-Coated Steel, Aluminum Casting for Motion Components, POM
Extruder Type: Geared motor (1:10 rate)

-----
No.of Extruders: Single/Double/Triple Extruders
Print Plate (Build Platform): Microcrystalline Ceramic Panel
-----
3D Printing Software: CreatWare
Supported File Formats: STL, OBJ, AMF
Operating System: Windows, Linux,Mac OS
-----
Extruder Temperature: 400 degree C
-----
AC Input: 100-240V,
Power Requirements: 50-60Hz
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): ATmega 2560
-----
Machine weight: DE: 35 kg

DE Plus : 42 kg
Shipping box weight: DE: 45 kg

DE Plus : 55 kg
Machine Dimensions: DE: 590*430*560mm

DE Plus : 590*430*780mm
Shipping box dimensions: DE: 720*560*670 mm

DE Plus:720*560*870 mm
Shipping Location: China
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/creatbot-de-series

15,Vector Dual Extruder 3D Printer,"$3,050 USD",,"Manufacturer Warranty: One year - Limited Warranty
-----
Print size ( X Y Z ): 250 x 250 x 300 mm
Print Speed: 150 to 300 mm/sec
Layer Resolution: 50 to 250 microns
Print Precision (Layer Thickness) : 0.05mm to 0.2mm
Filament Diameter: 3mm
Nozzle Diameter: 0.4mm
Filament Compatibility  : PLA,ABS,NYLON,PVA,PP,TGLASE,WOOD,STONE,CARBON FIBER & MORE
Print Plate Size: 250mm x 250mm.
Print in dual color: YES
Print in multi color: NO
-----
Chassis: Aluminium 
No.of Extruders: Two
Print Plate (Build Platform): Heated bed Glass
-----
3D Printing Software: Printware 
Supported File Formats: STL,OBJ
Operating System: Windows/MAC/Linux
-----
AC Input: 100-240 Volts , 50-60 Hz
Power Requirements: 400 volts , 14.5 Amp
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): Arduino 2560 sheild with LCD & SD Card Holder
-----
Machine weight: 38kg
Shipping box weight: 40 kg
Machine Dimensions: 480 mm x 560 mm x 720mm
Shipping box dimensions: 450 mm x 610 mm x 770 mm
Shipping Location: India
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/vector-dual-extruder-3d-printer

16,Ultimaker 2 Extended 3D Printer,"$3,030 USD",,"Manufacturer Warranty: 12 Months (Excluding the hotend) 
-----
Print size ( X Y Z ): 223 x 223 x 305 mm
Print Speed: 30 to 300 mm/sec
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.04 mm to 0.2 mm 
Filament Diameter: 2.85 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, ABS and CPE
-----
Print Plate (Build Platform): Heated bed (50Â° - 100Â° C)
-----
3D Printing Software: Cura
Supported File Formats: STL / OBJ / DAE / AMF
Operating System: Windows / Mac / Linux
-----
Power Requirements: 50 to 60 HZ, 221 Watt Max
Connectivity (Interface): Stand-alone SD card printing
-----
Machine weight: 12 Kg
Shipping box weight: 21 Kg
Machine Dimensions: 357 x 342 x 488 mm
Shipping box dimensions: 400 x 400 x 650 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/ultimaker-2-extended-3d-printer

17,J Group Robotics Dimension Dual Delta 3d Printer,"$2,600 USD",,"Manufacturer Warranty: One year - Limited Warranty
-----
Print size ( X Y Z ): 250 x 250 x 300 mm
Print Speed: 50 to 100 mm/sec
Layer Resolution: 50 to 250 microns
Print Precision (Layer Thickness) : 0.05mm to 0.2mm
Filament Diameter: 1.75mm
Nozzle Diameter: 0.5mm - 0.3mm all metal
Filament Compatibility  : PLA,ABS,NYLON,PVA,PP,TGLASE,WOOD,STONE,CARBON FIBER & MORE
Print Plate Size: 250 x 250 mm.
Print in dual color: YES
Print in multi color: NO
-----
Chassis: Aluminium 
No.of Extruders: Two
Print Plate (Build Platform): Heated bed Glass
-----
3D Printing Software: Printware 
Supported File Formats: STL,OBJ
Operating System: Windows/MAC/Linux
-----
AC Input: 100-240 Volts , 50-60 Hz
Power Requirements: 24 volts , 14.5 Amp
Connectivity (Interface): USB, SD card Supported 
-----
Electronics (Motherboard): Arduino 2560 sheild with LCD & SD Card Holder
-----
Machine weight: 16kg
Shipping box weight: 19 kg
Machine Dimensions: 650 mm x 480 mm x 850mm
Shipping box dimensions: 700 mm x 580 mm x 570 mm
Shipping Location: India
Lead Time (Processing/Handling Time): 1 week",https://www.3dprintersonlinestore.com/3d-printers/dimension-dual-delta-3d-system

18,JG Aurora Big Metal Frame A8 Industrial 3D Printer,"$2,552 USD",,"Manufacturer Warranty: 6 Months 
-----
Print size ( X Y Z ): 350 x 250 x 300 mm
Print Speed: 20-100 mm/sec
Layer Resolution: 50 microns 
Print Precision (Layer Thickness) : 0.05 - 0.3 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : ABS & PLA
-----
Chassis: Metal Frame
No.of Extruders: One
Print Plate (Build Platform): HeatBed
-----
3D Printing Software: Cura
Supported File Formats: .STL
Operating System: Windows/MAC/Linux
-----
Power Requirements: AC 100 - 230 V
Connectivity (Interface): USB, LCD display and SD card reader

-----

Electronics (Motherboard): Atmel 2560 (Arduino Mega)
-----
Machine weight: 32 Kg
Shipping box weight: 40 Kg
Machine Dimensions: 590 x 450 x 570 mm
Shipping box dimensions: 700*570*680 mm
Shipping Location: China
Lead Time (Processing/Handling Time): 5 to 7 days",https://www.3dprintersonlinestore.com/3d-printers/jg-aurora-industrial-3d-printer

19,Ultimaker 2 Standard 3D Printer,"$2,499 USD",,"Manufacturer Warranty: 12 Months (Excluding the hotend) 
-----
Print size ( X Y Z ): 223 x 223 x 205 mm
Print Speed: 30 to 300 mm/sec
Layer Resolution: 20 microns
Print Precision (Layer Thickness) : 0.04 mm to 0.2 mm 
Filament Diameter: 2.85 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, ABS and CPE
-----
Print Plate (Build Platform): Heated bed (50Â° - 100Â° C)
-----
3D Printing Software: Cura
Supported File Formats: STL / OBJ / DAE / AMF
Operating System: Windows / Mac / Linux
-----
Power Requirements: 50 to 60 HZ, 221 Watt Max
Connectivity (Interface): Stand-alone SD card printing
-----
Machine weight: 11.2 Kg
Shipping box weight: 18 Kg
Machine Dimensions: 357 x 342 x 388 mm
Shipping box dimensions: 400 x 400 x 550 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 2 Business days",https://www.3dprintersonlinestore.com/3d-printers/ultimaker-2-standard-3d-printer

20,MakerBot Replicator 2X Experimental 3D Printer,"$2,499 USD",,"Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): 246 x 152 x 155 mm
Layer Resolution: 100 microns
Print Precision (Layer Thickness) : 0.1 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm
Filament Compatibility  : ABS & PLA
-----
Chassis: Powder coated steel
No.of Extruders: Two
Print Plate (Build Platform): Heated, black anodized 356f aluminum
-----
3D Printing Software: Makerbot Makerware
Supported File Formats: STL, OBJ, THING
Operating System: Windows/MAC/Linux
-----
AC Input: 100 - 240 v, -4 amps, 50 to 60 HZ
Power Requirements: 24 v dc @ 9.2 amps
Connectivity (Interface): USB, SD Card (both included)
-----
Machine weight: 13 Kg
Shipping box weight: 18 Kg
Machine Dimensions: 490 x 320 x 531 mm
Shipping box dimensions: 605 x 584 x 417 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/makerbot-replicator-2x

21,Draken â€“ Complete Resin 3D Printer,"$2,499 USD",,"Manufacturer Warranty: 12 Months
-----
Print size ( X Y Z ): 180 x 98 x 223 mm
Layer Resolution: 100 microns
-----
Supported File Formats: STL
-----
Connectivity (Interface): USB
-----
Machine weight: 17 Kg
Machine Dimensions: 380 x 258 x 790 mm
Shipping Location: USA
Lead Time (Processing/Handling Time): 5 days",https://www.3dprintersonlinestore.com/3d-printers/draken-complete-resin-3d-printer

22,Aiorobotics Zeus - All in one 3d printer,"$2,499 USD",,"Manufacturer Warranty: AIO Care (Optional)
-----
Print size ( X Y Z ): 204 x 153 x 145 mm
Print Speed: 40 to 150 mm/sec
Layer Resolution: 80 microns
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.35 mm
Filament Compatibility  : PLA
Print in dual color: No
Print in multi color: No
-----
No.of Extruders: One
-----
3D Printing Software: Pre-installed ZEUS OS
Supported File Formats: PLY, OBJ, STL
Operating System: All (Web-based): Windows | Mac OS | Linux | iOS | Android
-----
AC Input: 100 â€“ 240V
Power Requirements: 150 W
Connectivity (Interface): Thumb Drive, USB, Ethernet, Wi-Fi
-----
Electronics (Motherboard): Samsung Exynos4412 Prime Cortex-A9 Quad Core 1.7 GHz with 1 MB L2 cache
-----
Machine weight: 21 kg
Shipping box weight: 25 kg
Machine Dimensions: 549 L x 377 W x 388 H [mm]
Shipping box dimensions: 660 x 457 x 483 [mm]
Shipping Location: USA
Lead Time (Processing/Handling Time): 8 to 12 weeks",https://www.3dprintersonlinestore.com/3d-printers/all-in-one-3d-printer

23,FELIX PRO 2 - Assembled 3D Printer,"$2,354 USD",,"Manufacturer Warranty: 1 year warranty 
-----
Print size ( X Y Z ): 237 x 244 x 235 mm
Layer Resolution: 50 Microns
Print Precision (Layer Thickness) : 0.05 to 0.25 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.35 mm
Filament Compatibility  : PLA, PET(G), Flex, ABS, PVA, Wood, Glass.
-----
No.of Extruders: Two
Print Plate (Build Platform): Heated Print Bed
Print Head/Hotend/Nozzle Type: Full Metal hotends 
-----
3D Printing Software: Simplify3D, FELIXbuilder or Repetier Host
Supported File Formats: STL, OBJ, 3DS, AMF
Operating System: Windows, Mac, Linux
-----
Connectivity (Interface): USB, SD Card, Wifi (Optional)
-----
Machine weight: 11.5 Kg
Shipping box weight: 13 Kg
Machine Dimensions: 420 x 400 x 550 mm
Shipping Location: Netherlands
Lead Time (Processing/Handling Time): 3 Weeks",https://www.3dprintersonlinestore.com/3d-printers/felix-pro-3d-printer

24,Alpha 100 Professional Desktop 3D Printer,"$2,899 USD","$2,299 USD",,https://www.3dprintersonlinestore.com/3d-printers/alpha-100-3d-printer

25,Createbot 3D Food Printer - Multi-Ingredient Support,"$2,349 USD","$2,115 USD","Manufacturer Warranty: 6 Months
-----
Print size ( X Y Z ): 150 x 150 x 100 mm
Print Speed: 20 to 30 mm/sec
Nozzle Diameter: 0.4mm to 1.55mm
-----
Chassis: Metal Frame
No.of Extruders: One
-----
3D Printing Software: Repetier host
Supported File Formats: STL
Operating System: Windows/MAC/Linux
-----
Connectivity (Interface): USB

-----

Machine weight: 15 Kg
Shipping box weight: 19 Kg
Machine Dimensions: 420*381*400mm
Shipping box dimensions: 500*500*500mm
Shipping Location: China
Lead Time (Processing/Handling Time): 5 Buisness days",https://www.3dprintersonlinestore.com/3d-printers/createbot-3d-food-printer

26,Mankati E180 - Precise and Powerful 3D Printer,"$2,300 USD","$2,108 USD","Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 180 x 180 x 200 mm
Print Speed: 30 to 300 mm/sec
Layer Resolution: 60 microns
Print Precision (Layer Thickness) : 0.06 to 0.4 mm
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.3 mm
Filament Compatibility  : mABS, mPC, mPLA, Nylon, etc.
-----
Extruder Type: Mankati Extruder 
No.of Extruders: One
Print Plate (Build Platform): Pref Board
Print Head/Hotend/Nozzle Type: Mankati Nozzle
-----
3D Printing Software: Mankati mWare
Supported File Formats: STL, OBJ, mCode
Operating System: Windows Vista/7/8, MacOS 10+
-----
Power Requirements: 50-60 HZ, 110V-220V
Connectivity (Interface): WIFI, Ethernet, U-Disk, USB Cable
-----
Electronics (Motherboard): 
-----
Machine weight: 15 Kg
Shipping box weight: 20 Kg
Machine Dimensions: 345 Ã— 340 Ã— 490 mm
Shipping Location: China
Lead Time (Processing/Handling Time): 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/mankati-e180-3d-printer

27,Sharebot Next Generation Desktop 3D Printer,"$2,054 USD",,"Print size ( X Y Z ): 250 x 200 x 200 mm
Layer Resolution: 50 microns
Print Precision (Layer Thickness) : 0.05 mm
Filament Diameter: 1.75 mm
Filament Compatibility  : ABS, ABS Plus, PLA, Nylon, Thermoplatic Polyurethane (TPU), Polystyrene, Cristal Flex, PLA Brick, PLA Flex, PLA Thermosense, PET
-----
Supported File Formats: STL
-----
Shipping Location: Italy
Lead Time (Processing/Handling Time): 2 Weeks",https://www.3dprintersonlinestore.com/3d-printers/sharebot-next-generation-desktop-3d-printer

28,miniFactoryÂ® 3 Education edition,"$2,054 USD",,"Manufacturer Warranty: 2 years 

-----

Print size ( X Y Z ): 150 x 150 x 150 mm

-----
Print Speed: 80 mm/sec

-----
Layer Resolution: No restrictions, tested from 100 to 350 Microns

-----
Print Precision (Layer Thickness) : High 0.1mm, Medium 0.2mm, Fast 0.3mm

-----
Filament Diameter: 1.75mm (3.00mm is optional)



-----
Nozzle Diameter:  0.4 mm  (0.3 / 0.5 for 1.75mm and 0.6 / 0.7 / 0.8 for 3.00mm are optional)



-----
Filament Compatibility  : PLA, ABS, Nylon, T-Glase, Laywood

-----
Print in dual color: Yes
Print in multi color: Manually by switching filament during print

-----

No.of Extruders: One

-----

3D Printing Software: Repetier-Host (recommended)

-----
Supported File Formats: .STL, .OBJ, .AMF

-----
Operating System: Windows, Linux, Mac

-----

AC Input: 100-240V 2.5A

-----
Power Requirements: PSU 24V5A 120W

-----
Connectivity (Interface): USB

-----

Electronics (Motherboard): miniFactoryÂ®3 Education Edition

-----

Machine weight: 11kg

-----
Shipping box weight: 12 kg
Machine Dimensions: 440 x 295 x 340mm (Length, width, height)

-----
Shipping box dimensions: 490 x 320 x 355mm (Length, width, height)

-----
Shipping Location: Finland

-----
Lead Time (Processing/Handling Time): 1 to 3 Business days",https://www.3dprintersonlinestore.com/3d-printers/educational-3d-printer

29,ZYYX Fume Free Professional 3D Printer,"$1,999 USD",,"Manufacturer Warranty: 1 Year 
-----
Print size ( X Y Z ): 270 x 230 x 195 mm
Print Speed: 40 to 120 mm/sec
Layer Resolution: 50 microns
Filament Diameter: 1.75mm 
Nozzle Diameter: 0.4 mm
Filament Compatibility  : PLA, Flexible PLA, ABS, Laywood, Laybrick, T-glase, Nylon and TPU
Print in dual color: No
Print in multi color: No
-----
Chassis: High Quality Steel Frame
No.of Extruders: One
-----
3D Printing Software: Free License  Simplify  3D 
Supported File Formats: STL, X3G
Operating System: MAC/Windows/linux
-----
AC Input: 110-220 V
Power Requirements: 110 V
Connectivity (Interface): USB, SD Card
-----
Electronics (Motherboard): ZYYX control board heavy duty
-----
Machine weight: 16 kg
Shipping box weight: 20 kg
Machine Dimensions: 540 x 410 x 420 mm
Shipping Location: Canada
Lead Time (Processing/Handling Time): Ships within 24 hours",https://www.3dprintersonlinestore.com/3d-printers/zyyx-fume-free-3d-printer

30,Wanhao Duplicator D5S - Extra Large 3D Printer,"$1,999 USD",,"Manufacturer Warranty: 1 Year
-----
Print size ( X Y Z ): 290 x 190 x 590 mm
Print Speed: 50 to 300 mm/sec
Layer Resolution: 20 to 300 microns
Print Precision (Layer Thickness) : 0.02mm-0.4mm
Filament Diameter: 3.0mm(+0.05 -0.05)

-----
Nozzle Diameter: 0.4 mm

-----
Filament Compatibility  : PLA, NYLON 645, PVA, & ABS ((With heatbed)
Print in dual color: No
Print in multi color: No
-----
No.of Extruders: One
Print Plate (Build Platform): Arcylic plate, Heatbed (Optional) 
-----
3D Printing Software: WanhaoMaker
Supported File Formats: .STL
Operating System: Windows/MAC/Linux

-----

AC Input: 4.0 A

-----
Power Requirements: 110-240V, 50/60Hz
Connectivity (Interface): USB, LCD Display

-----

Machine weight: 26

-----
Shipping box weight: 40 Kg
Machine Dimensions: 570*430*650mm
Shipping box dimensions: 610x570x950mm
Shipping Location: China
Lead Time (Processing/Handling Time): 4 Business days",https://www.3dprintersonlinestore.com/3d-printers/wanhao-duplicator-d5-extra-large-3d-printer

31,Bq Witbox 3d printer - Large Scale Prototyping Machine,"$1,999 USD",,"Manufacturer Warranty: 2 Years
-----
Print size ( X Y Z ): 297 x 210 x 200 mm
Print Speed: 60 to 100 mm/sec

-----
Layer Resolution: 50 to 300 microns
Print Precision (Layer Thickness) : 0.05 mm

-----
Filament Diameter: 1.75 mm
Nozzle Diameter: 0.4 mm 

-----
Filament Compatibility  : PLA, HIPS, FilaFlex, among others
Print Plate Size: 297 x 210 mm
Print in dual color: No
Print in multi color: No
-----
No.of Extruders: One
Print Plate (Build Platform): Glass base (non-heated)
-----
3D Printing Software: Repetier, Pronterface, Cura, Replicator G, Skeinforge
Supported File Formats: STL, G-code
Operating System: Windows, Linux, Mac
-----
AC Input: 110 - 220 V
Power Requirements: 12 DC 100W
